Title,Total Revenue (USD),Number of Sales,Avg Price per Sale
Moonlight Sonata Nightmare - PDF,4153.58,511,8.13
Fur Elise Nightmare - PDF,2873.01,405,7.09
5 Levels Still Dre - PDF,2170.26,352,6.17
5 Levels Beethoven Virus - PDF,1293.05,211,6.13
Lycoris Radiata (MusicalBasics Version) - PDF,813.77,115,7.08
5th Symphony Nightmare - PDF,802.54,112,7.17
Moonlight Sonata Nightmare - MIDI,716.24,78,9.18
Moonlight Sonata Nightmare,645.92,81,7.97
Fight For Freedom,637.82,90,7.09
5 Levels Canon in D - PDF,612.81,101,6.07
Canon in Dream,597.88,84,7.12
Winter Fantasy - PDF,538.45,60,8.97
Fires of a Revolution - PDF,486.83,54,9.02
The Gentle Zephyr - PDF,460.36,66,6.98
Fur Elise Nightmare,452.23,64,7.07
Pachelbel's Nightmare,448.65,44,10.20
Epic Canon in D,432.55,43,10.06
Living In The Shadows,417.49,52,8.03
Four Seasons Nightmare,416.22,52,8.00
La Campanella Nightmare,353.52,50,7.07
5th Level Fur Elise,311.88,51,6.12
The Black Star,307.30,38,8.09
Rolling Thunder,306.90,44,6.97
Moonlight Sonata Level 5,303.08,50,6.06
Fur Elise Nightmare - MIDI,300.40,37,8.12
Kintab - PDF,282.50,47,6.01
First Kiss - PDF,270.01,38,7.11
Passacaglia Dream,267.86,44,6.09
Colors of the Soul - PDF,252.95,36,7.03
5 Levels Still Dre,217.66,37,5.88
5th Level Turkish March - PDF,210.75,35,6.02
Lycoris Radiata (MusicalBasics Version),203.58,29,7.02
Vengeance - PDF,191.28,27,7.08
5th Symphony Nightmare,171.79,24,7.16
Epic Prelude in C Sharp Minor,165.59,20,8.28
Arrival of the Hero,157.55,23,6.85
What Could Have Been - PDF,156.84,22,7.13
5th Level Revolutionary Etude,155.76,26,5.99
5th Level The Force Theme,152.88,22,6.95
A Single Tarot Card - PDF,152.06,15,10.14
Rach Prelude Mix,148.35,24,6.18
Broken Dreams,146.86,24,6.12
5 Levels Beethoven Virus,142.20,24,5.93
Gallop Piano Solo - PDF,132.40,19,6.97
5 Levels Beethoven Virus - MIDI,132.05,18,7.34
5th Symphony Nightmare - MIDI,121.66,17,7.16
5th Level Coffin Dance,117.49,20,5.87
Gallop Piano Solo,114.33,16,7.15
Am Anfang,113.51,16,7.09
Waltz of the Rising Star,113.18,16,7.07
El Aela,103.31,15,6.89
5th Level Megalovania,100.61,17,5.92
Heart of the Warrior,97.69,14,6.98
Dreams of a Lonely Child,97.21,16,6.08
The Cursed Path,96.54,12,8.05
5 Levels Canon in D,96.38,16,6.02
Epic Hall of the Mountain King,93.13,13,7.16
Winter Fantasy,92.10,10,9.21
Lycoris Radiata (MusicalBasics Version) - MIDI,87.85,11,7.99
Total Isolation,86.17,14,6.16
Fires of a Revolution,78.87,9,8.76
The Gentle Zephyr,76.56,11,6.96
5 Levels Squid Game,76.49,13,5.88
Old MacDonald Had An Empire,74.30,12,6.19
Imprisoned Soul,71.20,8,8.90
Saudade,68.64,11,6.24
Epic Fur Elise,65.02,8,8.13
Endless Love,63.90,9,7.10
Awakening,59.83,9,6.65
The Gentle Zephyr - MIDI,57.36,7,8.19
Colors of the Soul - MIDI,57.26,7,8.18
Kintab,53.15,9,5.91
Fires of a Revolution - MIDI,51.70,5,10.34
Wahn,49.04,6,8.17
What Could Have Been - MIDI,48.93,6,8.15
In My World,48.02,8,6.00
The New Dawn,42.06,6,7.01
First Kiss - MIDI,41.54,5,8.31
For Beethoven,39.92,5,7.98
Eternal Hope,36.76,5,7.35
First Kiss,36.33,5,7.27
The Arched Window,35.95,6,5.99
Clouds,35.33,5,7.07
Waltz of the Living Night,34.95,7,4.99
A Single Tarot Card - MIDI,34.19,3,11.40
Gallop Piano Solo - MIDI,32.13,4,8.03
End of Days - MIDI,31.60,4,7.90
See You In Another Life,30.21,5,6.04
5th Level Turkish March - MIDI,28.90,4,7.23
Dreams of a Violin,28.86,4,7.21
Before Its Too Late,28.30,4,7.07
End of Days - PDF,28.00,4,7.00
Never Surrender,27.60,4,6.90
Colors of the Soul,27.60,4,6.90
Just Need You To Hold Me,25.24,4,6.31
Homesick Lullaby - PDF,23.73,4,5.93
Vengeance - MIDI,23.70,3,7.90
10 Levels Faded,23.64,4,5.91
Tingin,23.61,4,5.90
The Peace of Winter,23.60,4,5.90
Kintab - MIDI,20.80,3,6.93
Breakthrough,18.98,3,6.33
Homesick Lullaby - MIDI,17.83,3,5.94
Tranquility At Last,17.70,3,5.90
Lair of the Dragon,17.70,3,5.90
Appassionata Rewritten,14.97,2,7.49
The Window,14.22,2,7.11
Light of the Crystal,13.80,2,6.90
Yume,13.80,2,6.90
Vengeance,13.80,2,6.90
Frozen Bells,12.80,2,6.40
Courage,11.80,2,5.90
5th Level Turkish March,11.80,2,5.90
A Single Tarot Card,10.32,1,10.32
Vindicta,10.02,2,5.01
Fur Elise Nightmare - PRINT,8.90,1,8.90
Dark Waldstein,8.55,1,8.55
The Last Rite,7.90,1,7.90
End of Days,7.47,1,7.47
What Could Have Been,7.46,1,7.46
Angels Light,6.90,1,6.90
Music of Silence,6.90,1,6.90
What Could Have Been EDM,5.99,1,5.99
Night Moon Rising,5.90,1,5.90
Too Late,5.90,1,5.90
Homesick Lullaby,5.90,1,5.90
Awakening by Lionel Yu,5.90,1,5.90
