=== TOP 10 ALL-TIME (by Revenue) ===
Rank,Title,Total Revenue (USD),Number of Sales,Avg Price
1,Moonlight Sonata Nightmare - PDF,4153.58,511,8.13
2,Fur Elise Nightmare - PDF,2873.01,405,7.09
3,5 Levels Still Dre - PDF,2170.26,352,6.17
4,5 Levels Beethoven Virus - PDF,1293.05,211,6.13
5,Lycoris Radiata (MusicalBasics Version) - PDF,813.77,115,7.08
6,5th Symphony Nightmare - PDF,802.54,112,7.17
7,Moonlight Sonata Nightmare - MIDI,716.24,78,9.18
8,Moonlight Sonata Nightmare,645.92,81,7.97
9,Fight For Freedom,637.82,90,7.09
10,5 Levels Canon in D - PDF,612.81,101,6.07

=== TOP 10 PAST YEAR Apr 2025 - Apr 2026 (by Revenue) ===
Rank,Title,Revenue (USD),Number of Sales,Avg Price
1,Moonlight Sonata Nightmare - PDF,652.78,81,8.06
2,Fur Elise Nightmare - PDF,535.42,75,7.14
3,5 Levels Still Dre - PDF,412.99,66,6.26
4,5 Levels Beethoven Virus - PDF,289.75,46,6.30
5,5 Levels Canon in D - PDF,158.65,26,6.10
6,5th Symphony Nightmare - PDF,153.96,21,7.33
7,Moonlight Sonata Nightmare - MIDI,119.12,13,9.16
8,Fires of a Revolution - PDF,116.53,13,8.96
9,Living In The Shadows,113.18,14,8.08
10,Fight For Freedom,111.60,16,6.98
